group,Pig,Tissue,Set,numOTU
SRD129_P162_N_D0,162,N,D0_Control,213
SRD129_P163_N_D0,163,N,D0_Control,325
SRD129_P164_N_D0,164,N,D0_Control,188
SRD129_P165_N_D0,165,N,D0_Control,208
SRD129_P166_N_D0,166,N,D0_Control,168
SRD129_P167_N_D0,167,N,D0_Control,174
SRD129_P168_N_D0,168,N,D0_Control,296
SRD129_P169_N_D0,169,N,D0_Control,122
SRD129_P170_N_D0,170,N,D0_Control,180
SRD129_P171_N_D0,171,N,D0_Control,84
SRD129_P152_N_D0,152,N,D0_IAV,175
SRD129_P153_N_D0,153,N,D0_IAV,171
SRD129_P154_N_D0,154,N,D0_IAV,194
SRD129_P156_N_D0,156,N,D0_IAV,181
SRD129_P157_N_D0,157,N,D0_IAV,173
SRD129_P159_N_D0,159,N,D0_IAV,127
SRD129_P160_N_D0,160,N,D0_IAV,128
SRD129_P162_N_D1,162,N,D1_Control,189
SRD129_P163_N_D1,163,N,D1_Control,214
SRD129_P164_N_D1,164,N,D1_Control,139
SRD129_P165_N_D1,165,N,D1_Control,130
SRD129_P166_N_D1,166,N,D1_Control,86
SRD129_P167_N_D1,167,N,D1_Control,118
SRD129_P168_N_D1,168,N,D1_Control,172
SRD129_P169_N_D1,169,N,D1_Control,136
SRD129_P170_N_D1,170,N,D1_Control,131
SRD129_P171_N_D1,171,N,D1_Control,81
SRD129_P152_N_D1,152,N,D1_IAV,122
SRD129_P153_N_D1,153,N,D1_IAV,172
SRD129_P154_N_D1,154,N,D1_IAV,207
SRD129_P156_N_D1,156,N,D1_IAV,187
SRD129_P157_N_D1,157,N,D1_IAV,141
SRD129_P159_N_D1,159,N,D1_IAV,92
SRD129_P160_N_D1,160,N,D1_IAV,156
SRD129_P162_N_D10,162,N,D10_Control,194
SRD129_P163_N_D10,163,N,D10_Control,251
SRD129_P164_N_D10,164,N,D10_Control,187
SRD129_P165_N_D10,165,N,D10_Control,164
SRD129_P166_N_D10,166,N,D10_Control,173
SRD129_P167_N_D10,167,N,D10_Control,173
SRD129_P168_N_D10,168,N,D10_Control,206
SRD129_P169_N_D10,169,N,D10_Control,101
