"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu0008",298.235370730527,-1.23379692691964,0.18488182805895,-6.67343534988332,2.49883691620691e-11,5.7473249072759e-10,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","0.0e+00","Control","Otu0008","D0_IAVvsControl","Prevotellaceae Prevotella_9"
"Otu0013",88.9193133351878,0.813554808536373,0.228994932024696,3.55271971018396,0.000381270476452026,0.00212587174749008,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera","2.0e-03","IAV","Otu0013","D0_IAVvsControl","Veillonellaceae Megasphaera"
"Otu0014",294.74673963322,-0.925175692655302,0.215650968333031,-4.29015320360884,1.78549902341276e-05,0.000131412728123179,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","0.0e+00","Control","Otu0014","D0_IAVvsControl","Lactobacillaceae Lactobacillus"
"Otu0016",222.264476516419,0.65336588667844,0.251753461656952,2.59526078560437,0.00945191723212878,0.0310562994769946,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","3.1e-02","IAV","Otu0016","D0_IAVvsControl","Leuconostocaceae Weissella"
"Otu0017",344.279696161812,0.695331588822713,0.219834569044526,3.16297655935031,0.00156164905273525,0.00686902429464769,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1","7.0e-03","IAV","Otu0017","D0_IAVvsControl","Clostridiaceae_1 Clostridium_sensu_stricto_1"
"Otu0018",73.7521231977047,0.83411096588182,0.265399477376532,3.1428508229443,0.00167311084421251,0.00686902429464769,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter","7.0e-03","IAV","Otu0018","D0_IAVvsControl","Peptostreptococcaceae Terrisporobacter"
"Otu0023",139.401120982304,1.19488847478981,0.199528447556537,5.98856197911948,2.11704463679879e-09,2.99643240900751e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","0.0e+00","IAV","Otu0023","D0_IAVvsControl","Lachnospiraceae Blautia"
"Otu0025",7.72867688647854,-5.64619733546957,0.913392340338254,-6.18156851783827,6.34678021786308e-10,1.16780756008681e-08,"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","0.0e+00","Control","Otu0025","D0_IAVvsControl","Synergistaceae Cloacibacillus"
"Otu0029",10.4948820139689,-3.2521400838827,0.774289470546452,-4.20016054407599,2.66725784904951e-05,0.000188759786240427,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","0.0e+00","Control","Otu0029","D0_IAVvsControl","Weeksellaceae Chryseobacterium"
"Otu0030",36.9064158236719,-3.07574033608405,0.455093216987632,-6.75848424294937,1.39442811224202e-11,4.27624621087552e-10,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","0.0e+00","Control","Otu0030","D0_IAVvsControl","Streptococcaceae Lactococcus"
