,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,newp,Treatment,OTU,comp,Family_Genus
Otu00011,8145.713011,1.699846908,0.430237603,3.950949182,7.78E-05,0.000556569,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,1.00E-03,IAV,Otu0001,D7_nasal_IAVvsControl,Pasteurellaceae Actinobacillus
Otu00012,3261.256941,1.69153817,0.481254464,3.514851908,0.000439999,0.002319996,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,2.00E-03,IAV,Otu0001,D14_nasal_IAVvsControl,Pasteurellaceae Actinobacillus
Otu0057,23.97622458,-3.520171757,1.016525691,-3.462944209,0.000534299,0.004390545,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,4.00E-03,Control,Otu0057,D3_nasal_IAVvsControl,Aerococcaceae Aerococcus
Otu00571,6.1854492,-3.380006619,0.800759526,-4.221000826,2.43E-05,0.000217378,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,0.00E+00,Control,Otu0057,D7_nasal_IAVvsControl,Aerococcaceae Aerococcus
Otu00572,25.37164527,-1.811954223,0.610827297,-2.966393664,0.003013145,0.011494592,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,1.10E-02,Control,Otu0057,D10_nasal_IAVvsControl,Aerococcaceae Aerococcus
Otu00573,73.71348552,1.425148711,0.257665112,5.531011556,3.18E-08,4.35E-07,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,0.00E+00,IAV,Otu0057,D14_nasal_IAVvsControl,Aerococcaceae Aerococcus
Otu00574,122.875758,1.027655311,0.197049848,5.215204797,1.84E-07,2.43E-06,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,0.00E+00,IAV,Otu0057,D21_nasal_IAVvsControl,Aerococcaceae Aerococcus
Otu00575,214.7010681,-2.290005059,0.321373481,-7.125681478,1.04E-12,2.63E-11,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,0.00E+00,Control,Otu0057,D36_nasal_IAVvsControl,Aerococcaceae Aerococcus
Otu00576,215.1526299,-2.033848763,0.545025471,-3.73165819,0.000190223,0.002066519,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,2.00E-03,Control,Otu0057,D42_nasal_IAVvsControl,Aerococcaceae Aerococcus
Otu0188,9.110215017,1.646711528,0.368381167,4.47012951,7.82E-06,8.91E-05,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,0.00E+00,IAV,Otu0188,D1_nasal_IAVvsControl,Erysipelotrichaceae Catenibacterium
