Group,SRD129_P152_N_D0,SRD129_P152_N_D1,SRD129_P152_N_D10,SRD129_P152_N_D14,SRD129_P152_N_D21,SRD129_P152_N_D3,SRD129_P152_N_D36,SRD129_P152_N_D42,SRD129_P152_N_D7,SRD129_P153_N_D0,SRD129_P153_N_D1,SRD129_P153_N_D10,SRD129_P153_N_D14,SRD129_P153_N_D21,SRD129_P153_N_D3,SRD129_P153_N_D36,SRD129_P153_N_D42,SRD129_P153_N_D7,SRD129_P154_N_D0,SRD129_P154_N_D1,SRD129_P154_N_D10,SRD129_P154_N_D14,SRD129_P154_N_D21,SRD129_P154_N_D3,SRD129_P154_N_D36,SRD129_P154_N_D42,SRD129_P154_N_D7,SRD129_P156_N_D0,SRD129_P156_N_D1,SRD129_P156_N_D10,SRD129_P156_N_D14,SRD129_P156_N_D21,SRD129_P156_N_D3,SRD129_P156_N_D36,SRD129_P156_N_D42,SRD129_P156_N_D7,SRD129_P157_N_D0,SRD129_P157_N_D1,SRD129_P157_N_D10,SRD129_P157_N_D14,SRD129_P157_N_D21,SRD129_P157_N_D3,SRD129_P157_N_D36,SRD129_P157_N_D42,SRD129_P157_N_D7,SRD129_P159_N_D0,SRD129_P159_N_D1,SRD129_P159_N_D10,SRD129_P159_N_D14,SRD129_P159_N_D21,SRD129_P159_N_D3,SRD129_P159_N_D36,SRD129_P159_N_D42,SRD129_P159_N_D7,SRD129_P160_N_D0,SRD129_P160_N_D1,SRD129_P160_N_D10,SRD129_P160_N_D14,SRD129_P160_N_D21,SRD129_P160_N_D3,SRD129_P160_N_D36,SRD129_P160_N_D42,SRD129_P160_N_D7,SRD129_P162_N_D0,SRD129_P162_N_D1,SRD129_P162_N_D10,SRD129_P162_N_D14,SRD129_P162_N_D21,SRD129_P162_N_D3,SRD129_P162_N_D36,SRD129_P162_N_D42,SRD129_P162_N_D7,SRD129_P163_N_D0,SRD129_P163_N_D1,SRD129_P163_N_D10,SRD129_P163_N_D14,SRD129_P163_N_D21,SRD129_P163_N_D3,SRD129_P163_N_D36,SRD129_P163_N_D42,SRD129_P163_N_D7,SRD129_P164_N_D0,SRD129_P164_N_D1,SRD129_P164_N_D10,SRD129_P164_N_D14,SRD129_P164_N_D21,SRD129_P164_N_D3,SRD129_P164_N_D36,SRD129_P164_N_D42,SRD129_P164_N_D7,SRD129_P165_N_D0,SRD129_P165_N_D1,SRD129_P165_N_D10,SRD129_P165_N_D14,SRD129_P165_N_D21,SRD129_P165_N_D3,SRD129_P165_N_D36,SRD129_P165_N_D42,SRD129_P165_N_D7,SRD129_P166_N_D0,SRD129_P166_N_D1,SRD129_P166_N_D10,SRD129_P166_N_D14,SRD129_P166_N_D21,SRD129_P166_N_D3,SRD129_P166_N_D36,SRD129_P166_N_D42,SRD129_P166_N_D7,SRD129_P167_N_D0,SRD129_P167_N_D1,SRD129_P167_N_D10,SRD129_P167_N_D14,SRD129_P167_N_D21,SRD129_P167_N_D3,SRD129_P167_N_D36,SRD129_P167_N_D42,SRD129_P167_N_D7,SRD129_P168_N_D0,SRD129_P168_N_D1,SRD129_P168_N_D10,SRD129_P168_N_D14,SRD129_P168_N_D21,SRD129_P168_N_D3,SRD129_P168_N_D36,SRD129_P168_N_D42,SRD129_P168_N_D7,SRD129_P169_N_D0,SRD129_P169_N_D1,SRD129_P169_N_D10,SRD129_P169_N_D14,SRD129_P169_N_D21,SRD129_P169_N_D3,SRD129_P169_N_D36,SRD129_P169_N_D42,SRD129_P169_N_D7,SRD129_P170_N_D0,SRD129_P170_N_D1,SRD129_P170_N_D10,SRD129_P170_N_D14,SRD129_P170_N_D21,SRD129_P170_N_D3,SRD129_P170_N_D36,SRD129_P170_N_D42,SRD129_P170_N_D7,SRD129_P171_N_D0,SRD129_P171_N_D1,SRD129_P171_N_D10,SRD129_P171_N_D14,SRD129_P171_N_D21,SRD129_P171_N_D3,SRD129_P171_N_D36,SRD129_P171_N_D42,SRD129_P171_N_D7
Otu0001,1725,1493,1022,1151,1291,1081,1605,259,1263,668,507,1131,1090,1407,238,1161,653,915,1461,245,1083,1130,1022,1348,497,552,836,2053,2154,2571,1484,2030,1238,1790,1112,1797,1676,1894,1918,1075,1262,872,279,1077,1553,2063,2563,1848,1749,1166,1681,908,994,2368,1620,1432,1418,870,622,1280,449,385,1499,1457,934,1672,1391,1772,1145,569,675,1036,629,960,1170,1787,1372,920,646,545,743,1664,850,1553,2369,1746,1519,1253,946,2282,1575,1292,2037,2033,1478,1191,684,389,1774,1589,1586,2001,1394,1383,1928,983,312,1512,1194,826,1689,1395,1474,1024,825,476,1455,1221,1427,1133,1095,1108,1303,237,479,1110,1748,841,2227,1714,1366,1626,854,687,1598,1649,1328,1906,1134,1214,1383,812,233,1127,2027,1120,1695,1011,1154,995,449,390,1169
Otu0002,699,1044,604,1086,666,309,9,6,769,1150,1586,742,453,79,1147,2,4,732,1732,2393,1272,827,438,1508,57,8,2279,891,919,585,642,300,1745,12,4,1637,1103,1156,894,765,227,1537,1,0,1137,381,184,488,436,96,373,0,6,346,1181,977,527,136,562,750,37,14,463,856,1579,794,177,69,1161,13,6,1365,660,1558,925,392,620,729,250,774,1895,397,1176,320,27,5,250,1,0,803,321,1157,711,124,215,332,6,22,989,487,923,231,496,458,340,4,11,564,409,777,299,205,70,532,3,6,784,859,1815,846,131,40,898,10,2,942,889,1768,275,161,104,617,3,7,586,1160,1235,434,333,98,734,2,0,890,535,1276,154,181,35,489,10,3,622
Otu0003,166,36,593,136,358,646,249,115,576,633,354,715,859,794,580,770,634,939,2,1,187,313,347,4,186,83,226,1,1,25,187,98,0,489,786,29,166,206,226,102,633,67,33,240,318,605,245,466,512,574,599,595,397,430,181,368,632,149,443,462,225,64,422,50,23,66,212,182,33,105,169,201,52,79,73,224,318,26,548,342,88,602,719,606,406,336,276,925,377,173,787,457,204,562,512,767,1169,262,220,619,387,632,800,850,464,839,277,772,660,724,548,722,667,653,868,535,605,2,0,119,118,92,25,19,62,236,691,665,597,1005,835,343,362,461,996,202,267,381,462,706,85,484,15,400,734,579,600,437,707,401,347,78,535
Otu0004,638,862,252,43,344,1268,205,27,839,163,306,472,77,62,217,60,216,403,153,22,125,87,197,211,341,265,227,407,16,187,197,158,238,586,526,322,107,155,269,377,656,56,115,1168,518,170,205,376,47,87,458,35,155,346,743,845,593,84,323,672,46,216,1206,344,126,379,516,440,189,494,514,263,352,110,100,83,261,218,277,621,198,631,593,693,141,196,668,464,794,362,618,765,390,267,147,855,63,101,534,576,609,321,80,121,346,137,177,218,699,600,508,214,160,486,127,293,284,149,27,297,23,335,202,193,709,105,131,130,225,124,73,128,97,324,92,405,663,409,192,573,226,119,163,412,44,224,316,122,286,92,215,194,318
Otu0005,3,3,1,16,133,4,187,57,0,646,295,254,236,423,991,547,943,527,6,7,322,193,194,56,77,43,241,0,0,3,0,1,3,271,431,1,28,65,77,48,129,138,13,33,84,187,149,186,226,286,126,504,434,251,46,16,53,77,197,24,599,23,46,3,2,2,2,2,4,3,272,7,1,32,23,65,237,10,981,660,34,16,4,43,60,131,42,729,911,24,0,1,0,1,111,0,1146,1580,0,91,71,72,154,150,195,638,676,211,140,352,148,349,265,351,1033,1677,295,166,123,206,287,142,177,16,19,257,62,27,170,434,276,111,959,689,262,33,10,128,133,194,46,897,224,26,277,302,429,333,391,445,582,329,289
Otu0006,260,384,315,90,86,460,291,151,633,107,177,283,199,224,127,397,236,329,0,0,60,61,76,0,251,96,40,56,76,62,60,78,84,116,547,52,96,127,99,72,50,30,32,23,74,150,264,184,231,126,315,248,171,270,8,44,351,75,107,189,37,54,233,106,70,107,154,140,80,93,302,212,78,50,129,79,132,48,213,178,143,176,252,139,109,78,182,308,143,109,186,227,236,251,200,386,401,56,165,196,265,98,166,241,226,281,196,200,383,476,233,284,308,358,463,145,212,10,33,71,27,52,66,23,11,151,324,330,305,312,159,134,114,310,151,107,146,234,137,248,59,77,17,147,40,41,186,98,237,154,166,69,159
Otu0007,101,77,99,133,141,103,213,21,70,180,113,231,238,358,276,344,154,238,37,0,136,94,121,36,123,21,93,15,122,407,109,148,109,316,310,158,73,129,92,50,128,59,12,22,61,326,284,245,247,191,241,204,190,73,136,139,163,53,174,140,221,27,146,41,12,38,54,191,18,29,35,67,18,25,41,120,88,48,212,106,30,137,115,122,145,122,54,159,128,76,81,58,151,299,299,171,323,155,118,239,186,334,348,358,250,414,82,299,160,144,198,252,293,208,458,186,368,51,12,106,40,43,117,5,4,141,133,100,260,225,274,152,213,130,299,100,149,209,156,200,68,189,6,123,420,295,340,160,226,253,178,37,219
Otu0008,30,46,16,24,91,9,139,24,3,184,393,20,176,18,102,112,270,14,183,872,21,134,21,75,70,127,137,69,315,42,60,34,32,61,82,72,140,87,38,110,15,100,10,270,184,13,47,2,17,2,5,26,27,14,74,96,21,47,80,23,126,627,50,106,120,109,176,56,114,19,15,99,48,366,77,41,23,87,13,25,116,39,179,21,10,4,25,4,35,25,9,9,2,5,2,6,20,23,6,23,35,25,85,82,11,40,29,32,7,5,20,6,8,7,3,4,6,92,84,188,179,183,44,26,2,130,25,36,3,10,39,8,11,8,13,41,51,15,18,25,23,67,120,29,30,131,7,17,4,26,4,0,18
Otu0009,29,17,175,39,215,34,61,233,5,18,32,41,23,128,60,65,63,4,20,40,144,27,230,93,165,100,4,16,34,14,37,195,63,56,23,4,10,10,62,39,171,101,235,31,6,15,8,46,19,112,37,71,66,8,6,17,34,37,221,108,155,55,6,48,41,58,26,106,75,58,28,41,240,44,75,39,86,102,24,15,73,54,14,40,53,177,167,11,16,23,58,10,39,25,37,43,17,28,15,37,7,24,64,65,75,23,86,20,34,8,22,40,75,37,14,20,8,73,23,44,185,144,80,70,74,18,21,13,15,18,71,105,72,65,22,37,12,22,49,78,139,40,120,26,9,2,22,69,111,52,105,92,24
Otu0010,0,1,35,50,49,7,133,39,2,0,0,9,39,48,7,67,45,4,0,1,19,55,120,19,164,83,4,4,6,13,34,69,12,50,6,2,0,0,29,56,63,38,249,23,4,0,0,11,27,75,13,74,65,1,1,0,18,103,105,8,157,0,5,3,6,73,208,97,24,305,78,46,11,9,107,196,145,48,92,29,44,2,1,37,124,167,38,39,33,16,1,0,33,78,97,13,30,59,29,1,0,12,68,62,14,97,28,11,2,2,21,91,130,8,61,32,9,10,1,55,244,270,28,406,48,15,0,0,10,39,91,34,110,12,7,1,1,32,229,108,50,82,37,30,1,1,14,245,133,73,165,25,13
