"","OTU","Size","Taxonomy"
"1","Otu0001",1522122,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;"
"2","Otu0002",698142,"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;"
"3","Otu0003",464868,"Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Weeksellaceae_unclassified;"
"4","Otu0004",381884,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"
"5","Otu0005",250241,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;"
"6","Otu0006",201006,"Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseriaceae_unclassified;"
"7","Otu0007",183813,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacteriaceae_unclassified;"
"8","Otu0008",75698,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"
"9","Otu0009",69384,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;"
"10","Otu0010",52185,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"
"11","Otu0011",35024,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;"
"12","Otu0012",34024,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;"
"13","Otu0013",30382,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
"14","Otu0014",27625,"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;"
"15","Otu0015",26475,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;"
"16","Otu0016",24850,"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;"
"17","Otu0017",24496,"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Terrisporobacter;"
"18","Otu0018",21619,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;"
"19","Otu0019",20816,"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;"
"20","Otu0020",19695,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;"
"21","Otu0021",19197,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;"
"22","Otu0022",17762,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;"
"23","Otu0023",17040,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;"
"24","Otu0024",16586,"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;"
"25","Otu0025",16562,"Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;"
"26","Otu0026",15657,"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;"
"27","Otu0027",14786,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
"28","Otu0028",12872,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;"
"29","Otu0029",12391,"Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;"
"30","Otu0030",11590,"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae_unclassified;"
"31","Otu0031",11000,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;"
"32","Otu0032",9864,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-002;"
"33","Otu0033",9583,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;"
"34","Otu0034",9322,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;"
"35","Otu0035",9271,"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;uncultured;"
"36","Otu0036",9168,"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;"
"37","Otu0037",9088,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;"
"38","Otu0038",8799,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;"
"39","Otu0039",8633,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;"
"40","Otu0040",7748,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured;"
"41","Otu0041",7657,"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;"
"42","Otu0042",7593,"Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;Mogibacterium;"
"43","Otu0043",7512,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;"
"44","Otu0044",7362,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
"45","Otu0045",7121,"Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseriaceae_unclassified;"
"46","Otu0046",7011,"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrionaceae_unclassified;"
"47","Otu0047",6869,"Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Empedobacter;"
"48","Otu0048",6546,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;"
"49","Otu0049",6462,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;"
"50","Otu0050",6357,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_1;"
"51","Otu0051",6014,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;"
"52","Otu0052",5897,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;"
"53","Otu0053",5835,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;"
"54","Otu0054",5722,"Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Succiniclasticum;"
"55","Otu0055",5513,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;"
"56","Otu0056",5511,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-003;"
"57","Otu0057",5410,"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;"
"58","Otu0058",5352,"Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;"
"59","Otu0059",5310,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005;"
"60","Otu0060",5293,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;"
"61","Otu0061",5188,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;"
"62","Otu0062",5034,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-001;"
"63","Otu0063",4809,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_2;"
"64","Otu0064",4777,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;"
"65","Otu0065",4519,"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_6;"
