Sample,Pig,Tissue,Day,Treatment
SRD129_P152_N_D0,152,N,D0,IAV
SRD129_P152_N_D1,152,N,D1,IAV
SRD129_P152_N_D10,152,N,D10,IAV
SRD129_P152_N_D14,152,N,D14,IAV
SRD129_P152_N_D21,152,N,D21,IAV
SRD129_P152_N_D3,152,N,D3,IAV
SRD129_P152_N_D36,152,N,D36,IAV
SRD129_P152_N_D42,152,N,D42,IAV
SRD129_P152_N_D7,152,N,D7,IAV
SRD129_P153_N_D0,153,N,D0,IAV
SRD129_P153_N_D1,153,N,D1,IAV
SRD129_P153_N_D10,153,N,D10,IAV
SRD129_P153_N_D14,153,N,D14,IAV
SRD129_P153_N_D21,153,N,D21,IAV
SRD129_P153_N_D3,153,N,D3,IAV
SRD129_P153_N_D36,153,N,D36,IAV
SRD129_P153_N_D42,153,N,D42,IAV
SRD129_P153_N_D7,153,N,D7,IAV
SRD129_P154_N_D0,154,N,D0,IAV
SRD129_P154_N_D1,154,N,D1,IAV
SRD129_P154_N_D10,154,N,D10,IAV
SRD129_P154_N_D14,154,N,D14,IAV
SRD129_P154_N_D21,154,N,D21,IAV
SRD129_P154_N_D3,154,N,D3,IAV
SRD129_P154_N_D36,154,N,D36,IAV
SRD129_P154_N_D42,154,N,D42,IAV
SRD129_P154_N_D7,154,N,D7,IAV
SRD129_P156_N_D0,156,N,D0,IAV
SRD129_P156_N_D1,156,N,D1,IAV
SRD129_P156_N_D10,156,N,D10,IAV
SRD129_P156_N_D14,156,N,D14,IAV
SRD129_P156_N_D21,156,N,D21,IAV
SRD129_P156_N_D3,156,N,D3,IAV
SRD129_P156_N_D36,156,N,D36,IAV
SRD129_P156_N_D42,156,N,D42,IAV
SRD129_P156_N_D7,156,N,D7,IAV
SRD129_P157_N_D0,157,N,D0,IAV
SRD129_P157_N_D1,157,N,D1,IAV
SRD129_P157_N_D10,157,N,D10,IAV
SRD129_P157_N_D14,157,N,D14,IAV
SRD129_P157_N_D21,157,N,D21,IAV
SRD129_P157_N_D3,157,N,D3,IAV
SRD129_P157_N_D36,157,N,D36,IAV
SRD129_P157_N_D42,157,N,D42,IAV
SRD129_P157_N_D7,157,N,D7,IAV
SRD129_P159_N_D0,159,N,D0,IAV
SRD129_P159_N_D1,159,N,D1,IAV
SRD129_P159_N_D10,159,N,D10,IAV
SRD129_P159_N_D14,159,N,D14,IAV
SRD129_P159_N_D21,159,N,D21,IAV
