,group,Pig,Tissue,Day,Treatment,Genus,value,All,value2,percent_tot
1,SRD129_P152_N_D0,152,N,0,IAV,Moraxella,0.405684257,0_IAV,5.795489384,40.56842569
2,SRD129_P152_N_D1,152,N,1,IAV,Moraxella,0.356516439,1_IAV,5.093091989,35.65164392
3,SRD129_P152_N_D10,152,N,10,IAV,Moraxella,0.247494236,10_IAV,3.535631945,24.74942361
4,SRD129_P152_N_D14,152,N,14,IAV,Moraxella,0.276829553,14_IAV,3.954707906,27.68295534
5,SRD129_P152_N_D21,152,N,21,IAV,Moraxella,0.342524827,21_IAV,4.89321182,34.25248274
6,SRD129_P152_N_D3,152,N,3,IAV,Moraxella,0.256212572,3_IAV,3.660179602,25.62125722
7,SRD129_P152_N_D36,152,N,36,IAV,Moraxella,0.414385284,36_IAV,5.919789774,41.43852842
8,SRD129_P152_N_D42,152,N,42,IAV,Moraxella,0.072114795,42_IAV,1.030211357,7.211479498
9,SRD129_P152_N_D7,152,N,7,IAV,Moraxella,0.291889361,7_IAV,4.16984802,29.18893614
10,SRD129_P153_N_D0,153,N,0,IAV,Moraxella,0.300627453,0_IAV,4.294677899,30.06274529
11,SRD129_P153_N_D1,153,N,1,IAV,Moraxella,0.200119904,1_IAV,2.858855773,20.01199041
12,SRD129_P153_N_D10,153,N,10,IAV,Moraxella,0.331930659,10_IAV,4.741866559,33.19306591
13,SRD129_P153_N_D14,153,N,14,IAV,Moraxella,0.309044726,14_IAV,4.414924651,30.90447256
14,SRD129_P153_N_D21,153,N,21,IAV,Moraxella,0.43413634,21_IAV,6.201947719,43.41363403
15,SRD129_P153_N_D3,153,N,3,IAV,Moraxella,0.291830379,3_IAV,4.169005418,29.18303792
16,SRD129_P153_N_D36,153,N,36,IAV,Moraxella,0.39491327,36_IAV,5.641618146,39.49132702
17,SRD129_P153_N_D42,153,N,42,IAV,Moraxella,0.379615106,42_IAV,5.423072945,37.96151062
18,SRD129_P153_N_D7,153,N,7,IAV,Moraxella,0.334575931,7_IAV,4.779656162,33.45759313
19,SRD129_P154_N_D0,154,N,0,IAV,Moraxella,0.359183987,0_IAV,5.131199818,35.91839873
20,SRD129_P154_N_D1,154,N,1,IAV,Moraxella,0.065568143,1_IAV,0.936687754,6.556814281
21,SRD129_P154_N_D10,154,N,10,IAV,Moraxella,0.33051073,10_IAV,4.721581856,33.05107299
22,SRD129_P154_N_D14,154,N,14,IAV,Moraxella,0.304427043,14_IAV,4.348957756,30.4427043
23,SRD129_P154_N_D21,154,N,21,IAV,Moraxella,0.285634354,21_IAV,4.080490778,28.56343545
24,SRD129_P154_N_D3,154,N,3,IAV,Moraxella,0.327099683,3_IAV,4.672852611,32.70996828
25,SRD129_P154_N_D36,154,N,36,IAV,Moraxella,0.14086565,36_IAV,2.012366435,14.08656504
26,SRD129_P154_N_D42,154,N,42,IAV,Moraxella,0.142850145,42_IAV,2.04071635,14.28501445
27,SRD129_P154_N_D7,154,N,7,IAV,Moraxella,0.252962013,7_IAV,3.613743042,25.29620129
28,SRD129_P156_N_D0,156,N,0,IAV,Moraxella,0.485327076,0_IAV,6.933243939,48.53270757
29,SRD129_P156_N_D1,156,N,1,IAV,Moraxella,0.504781489,1_IAV,7.211164128,50.47814889
30,SRD129_P156_N_D10,156,N,10,IAV,Moraxella,0.611860725,10_IAV,8.740867505,61.18607253
31,SRD129_P156_N_D14,156,N,14,IAV,Moraxella,0.350380043,14_IAV,5.005429184,35.03800429
32,SRD129_P156_N_D21,156,N,21,IAV,Moraxella,0.477869434,21_IAV,6.826706206,47.78694344
33,SRD129_P156_N_D3,156,N,3,IAV,Moraxella,0.288919682,3_IAV,4.127424034,28.89196824
34,SRD129_P156_N_D36,156,N,36,IAV,Moraxella,0.49139975,36_IAV,7.019996428,49.139975
35,SRD129_P156_N_D42,156,N,42,IAV,Moraxella,0.352972541,42_IAV,5.042464867,35.29725407
36,SRD129_P156_N_D7,156,N,7,IAV,Moraxella,0.413934,7_IAV,5.913342851,41.39339996
37,SRD129_P157_N_D0,157,N,0,IAV,Moraxella,0.398273599,0_IAV,5.689622842,39.8273599
38,SRD129_P157_N_D1,157,N,1,IAV,Moraxella,0.456121796,1_IAV,6.516025664,45.61217964
39,SRD129_P157_N_D10,157,N,10,IAV,Moraxella,0.464854911,10_IAV,6.640784449,46.48549114
40,SRD129_P157_N_D14,157,N,14,IAV,Moraxella,0.276897939,14_IAV,3.955684838,27.68979387
41,SRD129_P157_N_D21,157,N,21,IAV,Moraxella,0.330482202,21_IAV,4.721174317,33.04822022
42,SRD129_P157_N_D3,157,N,3,IAV,Moraxella,0.228477531,3_IAV,3.263964727,22.84775309
43,SRD129_P157_N_D36,157,N,36,IAV,Moraxella,0.071622447,36_IAV,1.023177813,7.16224469
44,SRD129_P157_N_D42,157,N,42,IAV,Moraxella,0.258624728,42_IAV,3.694638973,25.86247281
45,SRD129_P157_N_D7,157,N,7,IAV,Moraxella,0.396172671,7_IAV,5.659609587,39.61726711
46,SRD129_P159_N_D0,159,N,0,IAV,Moraxella,0.530952984,0_IAV,7.585042634,53.09529844
47,SRD129_P159_N_D1,159,N,1,IAV,Moraxella,0.65065592,1_IAV,9.295084568,65.06559197
48,SRD129_P159_N_D10,159,N,10,IAV,Moraxella,0.486792048,10_IAV,6.954172121,48.67920484
49,SRD129_P159_N_D14,159,N,14,IAV,Moraxella,0.475253985,14_IAV,6.789342636,47.52539845
50,SRD129_P159_N_D21,159,N,21,IAV,Moraxella,0.347502327,21_IAV,4.964318957,34.7502327
51,SRD129_P159_N_D3,159,N,3,IAV,Moraxella,0.423378889,3_IAV,6.048269846,42.33788892
52,SRD129_P159_N_D36,159,N,36,IAV,Moraxella,0.324403183,36_IAV,4.634331186,32.4403183
53,SRD129_P159_N_D42,159,N,42,IAV,Moraxella,0.343260862,42_IAV,4.903726605,34.32608624
54,SRD129_P159_N_D7,159,N,7,IAV,Moraxella,0.611859563,7_IAV,8.740850903,61.18595632
55,SRD129_P160_N_D0,160,N,0,IAV,Moraxella,0.40234219,0_IAV,5.747745578,40.23421905
56,SRD129_P160_N_D1,160,N,1,IAV,Moraxella,0.341625382,1_IAV,4.880362601,34.16253821
57,SRD129_P160_N_D10,160,N,10,IAV,Moraxella,0.359604396,10_IAV,5.137205651,35.96043956
58,SRD129_P160_N_D14,160,N,14,IAV,Moraxella,0.242451967,14_IAV,3.463599529,24.24519671
59,SRD129_P160_N_D21,160,N,21,IAV,Moraxella,0.189128337,21_IAV,2.701833387,18.91283371
60,SRD129_P160_N_D3,160,N,3,IAV,Moraxella,0.298849471,3_IAV,4.269278159,29.88494711
61,SRD129_P160_N_D36,160,N,36,IAV,Moraxella,0.250694083,36_IAV,3.581344042,25.06940829
