,Category,x,avg,Genus,Treatment,Day,,,
1,Acinetobacter,0.009745508,0.097455084,Other,Control,D0,,,
2,Actinobacillus,1.529380748,15.29380748,Actinobacillus,Control,D0,,,
3,Actinomyces,0.009638149,0.096381488,Other,Control,D0,,,
4,Aerococcus,0.000204574,0.002045743,Other,Control,D0,,,
5,Agathobacter,0.018825253,0.188252528,Other,Control,D0,,,
6,Alloprevotella,0.036457707,0.364577065,Other,Control,D0,,,
7,Anaerococcus,0.017194983,0.171949828,Other,Control,D0,,,
8,Anaerovibrio,0.0119147,0.119147005,Other,Control,D0,,,
9,Bacteria_unclassified,0.000789866,0.007898662,Other,Control,D0,,,
10,Bacteroidales_unclassified,0.04741209,0.474120904,Other,Control,D0,,,
11,Bacteroides,0.029587159,0.29587159,Other,Control,D0,,,
12,Bergeyella,0.011316071,0.113160707,Other,Control,D0,,,
13,Blautia,0.036757382,0.367573816,Other,Control,D0,,,
14,Brachybacterium,0,0,Other,Control,D0,,,
15,Burkholderiaceae_unclassified,0.001923582,0.019235815,Other,Control,D0,,,
16,Carnobacteriaceae_unclassified,0.323110902,3.231109023,Carnobacteriaceae_unclassified,Control,D0,,,
17,Catenibacterium,0.002595923,0.025959227,Other,Control,D0,,,
18,Catenisphaera,0.000591486,0.005914855,Other,Control,D0,,,
19,Christensenellaceae_R-7_group,0.017036018,0.170360178,Other,Control,D0,,,
20,Chryseobacterium,0.00748208,0.074820799,Other,Control,D0,,,
21,Clostridiales_unclassified,0.012571871,0.125718712,Other,Control,D0,,,
22,Clostridiales_vadinBB60_group_ge,0.00119435,0.011943504,Other,Control,D0,,,
23,Clostridium_sensu_stricto_1,0.100890205,1.008902055,Clostridium_sensu_stricto_1,Control,D0,,,
24,Clostridium_sensu_stricto_6,0.006789069,0.067890694,Other,Control,D0,,,
25,Collinsella,0.021805496,0.218054962,Other,Control,D0,,,
26,Coprococcus_1,0.001073382,0.010733816,Other,Control,D0,,,
27,Coprococcus_3,0.004794182,0.047941819,Other,Control,D0,,,
28,Corynebacterium_1,0.000347737,0.003477374,Other,Control,D0,,,
29,Dialister,0.004373076,0.04373076,Other,Control,D0,,,
30,Dorea,0.010934981,0.109349812,Other,Control,D0,,,
31,Eggerthellaceae_unclassified,0.007266286,0.072662862,Other,Control,D0,,,
32,Empedobacter,0.009885856,0.098858563,Other,Control,D0,,,
33,Enhydrobacter,0.003945534,0.039455339,Other,Control,D0,,,
34,Enterobacteriaceae_unclassified,0.004317609,0.043176093,Other,Control,D0,,,
35,Enterococcus,0.004173663,0.041736626,Other,Control,D0,,,
36,Erysipelotrichaceae_unclassified,0.00357594,0.035759402,Other,Control,D0,,,
37,Escherichia-Shigella,0.012330742,0.123307421,Other,Control,D0,,,
38,Faecalibacterium,0.020730335,0.20730335,Other,Control,D0,,,
39,Family_XIII_AD3011_group,0.009830998,0.098309983,Other,Control,D0,,,
40,Family_XIII_ge,0.00455247,0.045524697,Other,Control,D0,,,
41,Fusobacterium,0.027625527,0.276255274,Other,Control,D0,,,
42,Holdemanella,0.00546409,0.054640896,Other,Control,D0,,,
43,Intestinibacter,0.000416475,0.004164751,Other,Control,D0,,,
44,Lachnospiraceae_AC2044_group,0.003144872,0.031448718,Other,Control,D0,,,
45,Lachnospiraceae_ge,0.027784528,0.277845282,Other,Control,D0,,,
46,Lachnospiraceae_NK4A136_group,0.001371125,0.01371125,Other,Control,D0,,,
47,Lachnospiraceae_unclassified,0.038662088,0.386620879,Other,Control,D0,,,
48,Lachnospiraceae_XPB1014_group,0.003768273,0.037682728,Other,Control,D0,,,
49,Lactobacillus,0.171091888,1.710918875,Lactobacillus,Control,D0,,,
50,Lactococcus,0.02228072,0.2228072,Other,Control,D0,,,
51,Leuconostoc,0.014169899,0.141698986,Other,Control,D0,,,
52,Marvinbryantia,0.001626174,0.016261738,Other,Control,D0,,,
53,Megasphaera,0.023132251,0.231322513,Other,Control,D0,,,
54,Mogibacterium,0.030714511,0.307145107,Other,Control,D0,,,
55,Mollicutes_RF39_ge,0.007666319,0.076663188,Other,Control,D0,,,
56,Moraxella,3.711857185,37.11857185,Moraxella,Control,D0,,,
57,Moraxellaceae_unclassified,0.007013336,0.070133359,Other,Control,D0,,,
58,Muribaculaceae_ge,0.019755675,0.197556753,Other,Control,D0,,,
59,Muribaculaceae_unclassified,0.004196468,0.041964678,Other,Control,D0,,,
60,Neisseriaceae_unclassified,0.401576256,4.015762556,Neisseriaceae_unclassified,Control,D0,,,
61,Olsenella,0.006310832,0.063108325,Other,Control,D0,,,
62,Oscillospira,0.002404026,0.024040262,Other,Control,D0,,,
63,Parabacteroides,0.001888314,0.018883142,Other,Control,D0,,,
64,Parvimonas,0.006608983,0.066089831,Other,Control,D0,,,
65,Pasteurellaceae_unclassified,0.003446735,0.034467352,Other,Control,D0,,,
