"","Moraxella","Actinobacillus","Weeksellaceae_unclassified","Streptococcus","Neisseriaceae_unclassified","Carnobacteriaceae_unclassified","Prevotella_9","Prevotellaceae_NK3B31_group","Lactobacillus","Phascolarctobacterium","Weissella","Clostridium_sensu_stricto_1","Terrisporobacter","Megasphaera","Rothia","Blautia","Chryseobacterium","Staphylococcus","Lactococcus","Turicibacter","Veillonellaceae_unclassified","Faecalibacterium","Ruminococcaceae_UCG-002","Enhydrobacter","Agathobacter","uncultured","Collinsella","Escherichia-Shigella","Acinetobacter","Aerococcus","uncultured","Olsenella","Mogibacterium","Succinivibrionaceae_unclassified","Empedobacter","Subdoligranulum","Prevotella_1","Leuconostoc","Alloprevotella","Succiniclasticum","Prevotellaceae_UCG-003","Romboutsia","Ruminococcaceae_UCG-005","Pediococcus","Enterococcus","Prevotellaceae_UCG-001","Prevotella_2","Clostridium_sensu_stricto_6","Treponema_2","Fusobacterium","Lachnospiraceae_AC2044_group","Bergeyella","Anaerovibrio","Prevotellaceae_unclassified","Ruminococcus_2","Veillonella","Dorea","Coprococcus_3","Lachnospiraceae_ge","Lachnospiraceae_XPB1014_group","Muribaculaceae_ge","Anaerococcus","Peptostreptococcus","Pasteurellaceae_unclassified","Rikenellaceae_RC9_gut_group","Brachybacterium","Lachnospiraceae_unclassified","Porphyromonas","Catenisphaera","Parabacteroides","Burkholderiaceae_unclassified","Parvimonas","Ruminococcaceae_NK4A214_group","Ruminococcaceae_UCG-014","Dialister","uncultured","Catenibacterium","Christensenellaceae_R-7_group","Oscillospira","Coprococcus_1","Eggerthellaceae_unclassified","Prevotella_7","Enterobacteriaceae_unclassified","Solobacterium","Bacteroidales_unclassified","Lachnospiraceae_NK4A136_group","Moraxellaceae_unclassified","Intestinibacter","Actinomyces","Family_XIII_ge","Ruminococcaceae_unclassified","Pseudoramibacter","Erysipelotrichaceae_unclassified","Corynebacterium_1","Ruminiclostridium_5","Ruminococcaceae_ge","Family_XIII_AD3011_group","Fusobacteriaceae_unclassified","Holdemanella","Ruminococcaceae_UCG-008","Bacteria_unclassified","Senegalimassilia","Bacteroides","Lachnospiraceae_ND3007_group","Syntrophococcus","Ruminiclostridium_9","Marvinbryantia","Myroides","Enterorhabdus","Peptococcus","Negativibacillus","Atopobiaceae_ge","Ruminococcus_1","Fournierella","Sphingobacterium","Intestinimonas","Campylobacter","horsej-a03","Muribaculaceae_unclassified","Ruminococcaceae_UCG-010","Mitsuokella","Sphingomonas","Massilia","Trueperella","Fusicatenibacter","Vagococcus","Atopobium","dgA-11_gut_group","Acidaminococcus","uncultured_ge","Pseudomonas","Bacteroidales_RF16_group_ge","Leptotrichiaceae_unclassified","Roseburia","Gemella","Gammaproteobacteria_unclassified","Actinotignum","Prevotellaceae_UCG-004","Ruminiclostridium_6","Lachnospiraceae_FCS020_group","p-1088-a5_gut_group","Lachnoclostridium","Sphingobacteriaceae_unclassified","Gastranaerophilales_ge","Corynebacteriaceae_unclassified","Schwartzia","Succinivibrio","uncultured","Family_XIII_unclassified","Ruminococcaceae_UCG-009","Brevundimonas","Leptotrichia","Desulfovibrio","Peptoanaerobacter","Candidatus_Soleaferrea","Mollicutes_RF39_ge","Prevotella","Sharpea","Clostridiales_unclassified","Z20","Oscillibacter","Clostridiales_vadinBB60_group_ge","Bradymonadales_ge","Deinococcus","Fibrobacter","WCHB1-41_ge","CAG-873","Kocuria","Mailhella","Cellulosilyticum","Micrococcaceae_unclassified","Cloacibacillus","Lachnospiraceae_UCG-004","Sutterella","Helicobacter","Family_XIII_UCG-001","Butyricicoccus","Coprococcus_2","Firmicutes_unclassified","Peptoniphilus","Finegoldia","Anaerostipes","uncultured","Ruminococcaceae_UCG-013","Acetitomaculum","F082_ge","Stenotrophomonas","vadinBE97_ge","Coriobacteriales_unclassified","Allisonella","Filifactor","Devosia","Pyramidobacter","Tannerellaceae_unclassified","Pseudoclavibacter","Aerosphaera","Paracoccus","Rhizobiaceae_unclassified","Ruminococcaceae_UCG-004","Aerococcaceae_unclassified","Lachnoclostridium_12","Shuttleworthia","Capnocytophaga","Erysipelotrichaceae_UCG-009","Alphaproteobacteria_unclassified","Selenomonas_1","Kurthia","Tyzzerella","Bacteroidia_unclassified","Anaerovorax","uncultured","Clostridiaceae_1_unclassified","Ruminococcaceae_UCG-003","Johnsonella","Lachnospiraceae_NK4B4_group","Izimaplasmatales_ge","uncultured","Erysipelotrichaceae_ge","Oribacterium","Mycoplasma","Butyrivibrio","Tannerella","UBA1819","Fastidiosipila","Sphaerochaeta","Fretibacterium","Shinella","Ezakiella","Dyadobacter","Pedobacter","Corynebacterium","GCA-900066225","Lachnospiraceae_UCG-010","Wohlfahrtiimonas","Mucispirillum","Delftia","Aeromonas","Ignavigranum","Leucobacter","Murdochiella","Angelakisella","Peptococcaceae_unclassified","Butyricimonas","Atopobiaceae_unclassified","CAG-56","Hydrogenoanaerobacterium","Lachnospira","Ralstonia","Proteocatella","Lachnospiraceae_NK3A20_group","Erysipelotrichaceae_UCG-004","Helcococcus","Howardella","Selenomonas","Selenomonas_4","Lachnospiraceae_UCG-003","Selenomonas_3","Slackia","uncultured","Flavobacteriaceae_unclassified","Actinobacteria_unclassified","Puniceicoccaceae_unclassified","Erysipelotrichaceae_UCG-006","Arcanobacterium","Microbacteriaceae_unclassified","Chlamydia","Rhodospirillales_unclassified","Alistipes","Lachnospiraceae_UCG-002","Micrococcales_unclassified","Oxalobacter","Suttonella","CAG-352","Sphingopyxis","Rhodococcus","Caproiciproducens","uncultured","Eubacterium","Gallicola","GCA-900066575","Lachnospiraceae_NC2004_group","uncultured","Coriobacteriaceae_unclassified","DTU089","Lachnoanaerobaculum","Synergistaceae_unclassified","Anaerofustis","Negativicoccus","Parasutterella","Victivallis","Thermomonas","Azospirillum","uncultured","Arsenicicoccus","JG30-KF-CM45_ge","OPB56_ge","Sarcina","Herpetosiphon","Victivallaceae_ge","Tahibacter","Bilophila","Faecalicoccus","Janibacter","Micrococcus","Dietzia","Allofustis","Verrucomicrobiae_unclassified","Brachymonas","env.OPS_17_ge","Obscuribacterales_ge","Dysgonomonas","Mycobacterium","Victivallaceae_unclassified","Saccharibacillus","Bradyrhizobium","F0058","Dermacoccaceae_unclassified","Bifidobacterium","Anaeroplasma","Pseudochrobactrum","Flavobacterium","Clostridia_unclassified","Desulfomicrobium","Moryella","Williamsia","Odoribacter","Bosea","Propionivibrio","uncultured","Flexilinea","Carnobacterium","Facklamia","Elusimicrobium","uncultured","Phocea","Phreatobacter","uncultured","Rikenellaceae_unclassified","Fusibacter","XBB1006","Paenibacillus","Macrococcus","Methylobacterium","Roseimicrobium","Cerasicoccus","Lachnospiraceae_UCG-001","Holdemania","Saccharimonadales_ge","Sphingobium","Catonella","Catabacter","Mannheimia","Leptothrix","Bordetella","Lactobacillales_unclassified","Butyrivibrio_2","Psychrobacter","Proteiniclasticum","Akkermansia","S5-A14a","Candidatus_Saccharimonas","Dokdonella","Beutenbergiaceae_unclassified","Niabella","Sphingomonadaceae_unclassified","Syntrophomonadaceae_unclassified","Defluviitaleaceae_UCG-011","Rhodopseudomonas","Spirochaetaceae_unclassified","Caulobacteraceae_unclassified","Acetobacteraceae_unclassified","Pir4_lineage","Bacillaceae_unclassified","Exiguobacterium","Prevotella_6","Family_XI_unclassified","Dermatophilaceae_unclassified","Antricoccus","Xanthomonas","Jeotgalicoccus","Brevibacterium","Atopostipes","Sericytochromatia_ge","Anaerofilum","uncultured","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","uncultured","Burkholderia-Caballeronia-Paraburkholderia","Geobacillus","Taibaiella","Streptomyces","Actinomycetaceae_unclassified","Anaerotruncus","Novosphingobium","Acetanaerobacterium","Roseomonas","67-14_ge","IMCC26207"
"SRD129_P152_N_D0",14745,6170,1563,5432,2379,858,294,298,232,184,306,468,107,135,64,268,2,12,8,42,83,69,108,0,32,4,81,45,22,0,19,8,81,10,0,43,1,1,138,1,33,20,48,17,2,2,56,70,56,18,30,41,17,173,6,45,31,20,49,7,32,37,9,66,15,0,86,22,0,9,1,9,20,22,0,24,7,38,29,9,40,11,5,1,13,6,29,4,17,18,35,2,15,5,19,21,52,0,8,4,7,3,29,17,6,15,16,0,6,23,4,24,12,4,1,9,13,0,24,5,0,0,0,63,18,0,0,3,3,5,7,29,1,3,8,5,24,0,4,5,0,1,0,4,16,10,2,0,1,5,0,3,3,0,5,17,0,0,7,0,5,4,1,0,4,1,0,0,0,0,0,1,7,1,0,1,1,0,0,4,1,0,1,3,1,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,1,1,3,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRD129_P152_N_D1",10529,7179,191,6404,2628,655,110,91,37,56,41,86,23,39,72,88,0,219,4,4,37,45,76,2,15,15,20,32,15,0,1,2,16,7,0,9,4,0,14,3,22,13,12,9,70,3,24,7,8,17,6,15,2,30,6,16,6,12,11,4,15,24,11,28,8,0,19,14,2,2,0,10,11,11,0,0,10,9,9,1,6,7,17,4,3,0,4,3,2,11,6,0,2,7,8,10,7,1,0,0,0,5,11,1,2,3,1,0,3,6,3,1,9,3,1,2,2,0,0,5,0,0,1,12,3,0,5,0,0,4,2,0,0,0,0,0,2,0,0,8,0,6,0,0,16,2,2,1,0,3,0,0,3,0,2,5,0,0,8,0,0,7,1,0,4,0,0,0,1,0,0,0,3,0,2,2,0,0,0,0,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRD129_P152_N_D10",10198,6076,5367,2971,3239,1140,3693,1943,387,283,214,235,148,39,31,206,64,39,66,86,76,228,48,147,464,30,87,18,19,0,407,45,46,106,1,119,100,7,310,6,33,19,50,44,10,3,110,20,3,20,0,11,32,272,45,24,17,26,54,0,59,9,11,15,22,0,163,28,53,51,24,7,26,41,1,11,11,11,42,10,29,70,7,30,48,128,11,12,14,6,49,4,48,2,20,50,13,1,20,10,6,16,16,18,13,14,44,0,22,4,11,5,33,5,1,10,3,0,0,5,6,4,3,4,0,0,1,0,0,0,3,0,10,67,10,0,6,5,32,2,0,4,4,0,5,0,2,0,2,0,0,16,0,2,0,14,0,0,8,0,14,1,0,0,0,1,0,1,1,0,0,0,16,5,0,1,0,3,0,0,3,9,2,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,2,0,1,3,2,0,3,0,0,1,0,0,3,2,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRD129_P152_N_D14",1184,1086,136,122,97,133,105,158,10,40,42,88,57,5,3,26,116,0,59,11,17,1,12,71,7,48,7,3,20,11,1,6,9,36,2,9,3,1,13,1,12,8,6,4,3,1,7,3,52,0,0,8,2,35,3,1,6,3,9,1,18,0,3,0,4,1,23,1,5,7,6,1,10,6,0,0,1,8,10,5,12,1,10,8,0,16,4,2,0,0,17,0,5,2,2,20,5,0,2,3,7,1,3,3,2,2,0,0,3,0,0,0,8,0,4,1,0,0,0,6,1,3,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,19,0,0,0,3,3,0,0,0,0,0,0,0,9,0,0,0,0,2,6,0,7,0,0,0,1,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRD129_P152_N_D21",16521,7479,3965,5699,898,1491,3011,362,255,290,186,368,385,273,17,319,45,7,414,81,345,88,80,37,224,120,76,33,231,239,150,134,101,85,0,71,215,2,183,150,35,78,70,74,86,11,79,42,83,8,0,8,42,314,36,3,42,24,68,24,57,2,6,2,37,2,187,1,21,14,5,0,56,66,5,27,16,73,53,63,50,200,31,8,22,37,6,19,0,24,85,24,9,27,16,69,62,1,5,25,9,14,3,21,60,17,30,197,12,12,20,16,45,4,5,5,2,2,5,22,0,1,1,12,1,58,0,0,82,17,3,4,0,7,0,6,5,3,15,2,5,5,3,12,0,0,3,11,4,5,2,0,14,0,5,24,0,3,21,0,16,5,0,1,4,0,0,0,3,2,9,0,9,0,0,3,3,3,5,4,0,10,2,6,1,0,10,0,0,8,4,0,0,0,1,0,0,1,1,2,0,2,0,5,0,7,4,2,1,0,0,0,2,0,0,0,0,0,3,4,0,0,0,1,0,1,0,0,0,0,0,2,0,4,0,0,2,6,10,6,0,0,0,1,2,0,7,7,0,4,0,0,2,0,0,6,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"SRD129_P152_N_D3",7145,1990,4235,8312,3096,620,353,107,38,81,77,52,58,67,27,97,0,36,4,5,31,45,72,1,45,12,32,73,21,0,56,6,46,2,0,44,23,0,33,2,14,10,25,12,11,1,95,11,33,3,2,14,10,58,16,6,11,15,16,3,13,5,0,11,28,0,20,13,2,8,0,8,14,35,0,0,9,10,22,3,6,11,1,6,0,5,7,11,0,16,24,9,7,5,9,14,7,0,7,1,1,1,13,4,1,17,7,0,3,4,10,1,10,2,0,5,7,0,0,1,3,0,0,1,5,0,1,0,0,1,28,0,0,0,0,0,1,3,4,0,0,9,0,1,0,0,0,0,0,3,0,1,11,5,2,10,0,1,0,0,0,9,1,0,0,0,0,0,3,0,0,0,1,0,0,2,0,1,0,1,0,0,6,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRD129_P152_N_D36",5767,39,772,1718,955,680,386,409,216,89,74,184,40,81,13,84,6,87,74,77,32,33,50,20,31,32,17,36,27,91,25,1,14,107,21,21,65,10,67,53,20,7,29,37,39,23,3,5,93,2,0,3,15,67,25,2,26,9,17,11,29,0,4,2,75,8,90,1,4,0,0,1,14,53,2,6,3,36,16,9,8,6,9,3,23,21,12,5,3,2,21,3,5,14,5,24,16,0,5,14,7,2,2,4,1,2,22,1,1,0,1,1,34,1,6,1,4,6,1,30,8,4,5,0,12,8,2,6,5,7,0,0,0,15,0,3,0,8,3,1,3,0,0,0,1,2,0,4,6,6,0,1,6,0,1,20,0,0,8,4,3,11,7,2,3,4,3,4,1,0,5,0,2,0,2,1,3,0,9,0,0,0,2,2,0,0,0,3,3,0,0,3,0,2,1,0,3,2,0,2,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,2,35,2,0,0,0,0,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRD129_P152_N_D42",1764,67,608,592,817,107,2710,1170,1458,751,62,361,230,183,8,218,0,32,42,136,38,211,450,1,17,90,73,7,0,12,96,11,121,109,4,65,38,15,324,39,378,21,217,19,1,166,14,29,1739,0,9,4,81,403,56,3,134,63,73,68,294,0,0,10,715,1,640,0,13,336,1,0,497,234,0,42,35,357,73,57,103,15,1,39,303,24,8,23,0,3,248,34,48,8,41,89,241,0,6,175,161,0,26,23,2,17,77,0,4,18,8,23,109,16,0,21,52,52,114,225,2,0,0,0,12,2,0,6,15,10,0,40,0,14,0,52,0,68,34,7,12,26,0,136,0,4,25,29,19,121,0,1,50,0,42,131,0,0,104,94,45,227,22,0,17,257,30,0,52,4,0,0,1,82,23,10,13,1,12,0,0,16,12,15,33,0,0,9,20,1,0,0,23,30,0,0,0,1,0,0,3,10,0,0,0,3,4,0,11,14,8,0,3,0,15,38,1,4,31,8,9,0,0,0,24,0,0,0,0,0,0,6,3,0,4,0,0,0,0,0,3,0,1,0,7,0,2,0,0,0,3,0,0,0,0,0,0,6,10,2,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRD129_P152_N_D7",7482,4859,3252,5392,3729,356,56,10,15,14,15,16,9,8,14,9,23,1,41,5,0,6,3,2,3,3,8,6,14,0,8,4,2,0,0,1,5,0,12,4,2,2,7,2,0,0,6,6,4,9,0,11,1,11,0,8,2,0,0,0,1,10,6,31,1,0,3,11,1,1,14,0,2,3,0,5,0,1,2,1,4,1,0,0,3,1,0,1,2,0,0,0,1,4,2,0,1,1,1,0,1,0,4,0,0,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRD129_P153_N_D0",12026,11280,5964,3022,1037,1573,272,227,270,201,387,483,116,143,95,223,0,27,6,55,69,62,93,0,24,14,85,24,11,0,17,2,92,21,0,47,7,0,120,2,22,38,52,24,5,12,96,35,75,31,14,31,17,159,22,35,54,18,64,1,30,37,13,10,21,0,92,25,4,3,2,10,14,26,0,11,9,49,6,3,34,3,8,6,21,7,21,6,23,20,45,5,17,1,7,18,26,9,6,0,5,9,23,10,16,19,9,0,2,20,1,9,15,1,0,6,1,0,24,2,1,0,0,30,6,0,10,1,0,9,7,14,3,1,4,1,4,1,4,6,4,8,0,1,9,7,1,0,2,7,1,8,4,0,3,17,0,2,12,0,4,5,4,0,4,1,0,0,0,0,0,0,0,2,0,2,1,0,0,5,3,1,3,5,3,0,1,0,0,2,1,0,0,0,0,0,0,0,3,3,0,0,3,0,0,1,0,8,3,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
